frame,time_s,x_px,y_px,path_mm,velocity_mm_s,accel_mm_s2
473,18.9200,486,297,3194.423,238.627,666.850
474,18.9600,489,277,3214.647,328.566,1202.061
475,19.0000,493,256,3236.024,430.454,1798.304
476,19.0400,496,232,3260.211,513.309,2125.262
477,19.0800,496,213,3279.211,533.142,1983.226
478,19.1200,494,195,3297.322,514.494,1379.335
479,19.1600,488,174,3319.162,522.577,970.057
480,19.2000,483,166,3328.596,462.859,162.029
481,19.2400,484,164,3330.832,353.106,-801.014
482,19.2800,478,159,3338.642,297.157,-1179.925
483,19.3200,475,158,3341.805,222.415,-1460.399
484,19.3600,472,156,3345.410,131.241,-1956.683
485,19.4000,470,155,3347.646,95.251,-1838.041
486,19.4400,469,153,3349.882,95.251,-1289.273
487,19.4800,469,153,3349.882,56.200,-1204.786
488,19.5200,471,153,3351.882,50.388,-860.130
489,19.5600,478,156,3359.498,70.440,-304.005
490,19.6000,491,163,3374.263,133.083,189.161
491,19.6400,505,178,3394.781,224.494,646.217
492,19.6800,519,199,3420.020,350.689,1472.444
493,19.7200,526,224,3445.981,470.496,2100.539
494,19.7600,533,246,3469.068,547.851,2387.059
495,19.8000,532,255,3478.124,519.304,1931.104
496,19.8400,528,260,3484.527,448.728,1121.170
497,19.8800,520,259,3492.589,362.845,60.783
498,19.9200,512,251,3503.903,289.606,-904.450
499,19.9600,504,240,3517.504,242.180,-1528.358
500,20.0000,499,235,3524.575,232.258,-1435.230
501,20.0400,495,230,3530.978,232.258,-1082.351
502,20.0800,494,227,3534.141,207.758,-775.436
503,20.1200,493,223,3538.264,171.805,-589.006
504,20.1600,489,220,3543.264,128.798,-566.909
505,20.2000,487,218,3546.092,107.585,-623.367
506,20.2400,487,219,3547.092,80.569,-758.445
507,20.2800,494,225,3556.312,110.855,-484.514
508,20.3200,507,238,3574.697,182.164,51.793
509,20.3600,517,249,3589.563,231.494,513.481
510,20.4000,519,259,3599.761,268.342,803.787
511,20.4400,508,262,3611.162,320.351,1198.909
512,20.4800,498,260,3621.360,325.243,1071.940
513,20.5200,493,256,3627.764,265.335,415.857
514,20.5600,488,249,3636.366,234.016,12.612
515,20.6000,482,240,3647.183,237.109,-156.163
516,20.6400,474,230,3659.989,244.132,-381.095
517,20.6800,466,221,3672.030,253.350,-359.468
518,20.7200,464,217,3676.503,243.695,-108.202
519,20.7600,466,219,3679.331,214.825,-95.956
520,20.8000,474,228,3691.373,220.950,-80.797
521,20.8400,488,237,3708.016,240.135,-19.983
522,20.8800,499,248,3723.572,257.709,21.797
523,20.9200,501,255,3730.852,271.749,140.271
524,20.9600,494,260,3739.455,300.618,428.966
525,21.0000,484,263,3749.895,292.612,358.310
526,21.0400,478,261,3756.220,241.018,4.414
527,21.0800,474,254,3764.282,203.548,-270.807
528,21.1200,466,240,3780.406,247.770,-119.896
529,21.1600,458,230,3793.213,268.789,-159.145
530,21.2000,450,222,3804.526,273.156,-97.278
531,21.2400,445,217,3811.597,276.889,179.354
532,21.2800,442,213,3816.597,261.578,290.150
533,21.3200,446,217,3822.254,209.239,-192.652
534,21.3600,457,229,3838.533,226.602,-210.936
535,21.4000,475,240,3859.628,275.509,11.762
536,21.4400,490,247,3876.181,322.918,230.146
537,21.4800,492,256,3885.401,344.016,412.191
538,21.5200,486,256,3891.401,345.732,682.461
539,21.5600,480,250,3899.886,306.764,400.809
540,21.6000,473,238,3913.778,270.751,-23.789
541,21.6400,466,227,3926.817,253.178,-348.699
542,21.6800,458,212,3943.817,292.081,-259.676
543,21.7200,448,200,3959.437,340.183,-27.743
544,21.7600,439,188,3974.437,372.757,329.964
545,21.8000,435,181,3982.499,343.606,364.274
546,21.8400,431,175,3989.711,314.469,306.455
547,21.8800,431,174,3990.711,234.469,-288.057
548,21.9200,441,181,4002.917,217.400,-613.918
549,21.9600,459,194,4025.121,253.418,-596.696
550,22.0000,485,212,4056.743,371.220,138.072
551,22.0400,499,231,4080.344,453.169,693.498
552,22.0800,502,245,4094.662,519.758,1426.444
553,22.1200,495,251,4103.882,504.823,1437.117
554,22.1600,490,248,4109.713,422.960,847.711
555,22.2000,489,240,4117.775,305.157,-330.315
556,22.2400,487,226,4131.917,257.864,-976.527
557,22.2800,482,209,4149.637,274.875,-1224.417
558,22.3200,471,194,4168.238,321.782,-915.203
